tier,MachineFamily,Vcore,Ram,Slots,MaxApps,MaxInstance,MinInstance,Storage,VnetIntegration,HybridConnection,ConvertTo
B1,A,1,1.75,0,8,3,1,10,FALSE,5,
B2,A,2,3.5,0,16,3,1,10,FALSE,5,
B3,A,4,7,0,32,3,1,10,FALSE,5,
S1,A,1,1.75,5,8,10,1,50,FALSE,25,
S2,A,2,3.5,5,16,10,1,50,FALSE,25,
S3,A,4,7,5,32,10,1,50,FALSE,25,
P1V2,Dv2,1,3.5,20,8,20,1,250,TRUE,220,
P2V2,Dv2,2,7,20,16,20,1,250,TRUE,220,P1V3
P3V2,Dv2,4,14,20,32,20,1,250,TRUE,220,P2V3
P1V3,Unknown,2,8,20,16,20,1,250,TRUE,220,
P2V3,Unknown,4,16,20,32,20,1,250,TRUE,220,
P3V3,Unknown,8,32,30,64,20,1,250,TRUE,220,
EP1,Unknown,1,3.5,3,100,100,1,250,TRUE,5
